asset,regime,daily_return
AAPL,crisis,0.0007400419877047921
AAPL,normal,0.0016600080119304414
AMZN,crisis,0.0005230218029713765
AMZN,normal,0.0023880915222224135
BTC-USD,crisis,-0.0008356147684940017
BTC-USD,normal,0.002192397135289989
DBC,crisis,-0.0005289118022181702
DBC,normal,0.0004326115536335606
DIA,crisis,-0.00032769209970278897
DIA,normal,0.0008775221829896404
ETH-USD,crisis,-0.0007993893799570697
ETH-USD,normal,0.002108474275076066
GC=F,crisis,0.0005288034199328997
GC=F,normal,0.0004823394356774374
GLD,crisis,0.00044020413797053796
GLD,normal,0.0005031522812456309
GOOGL,crisis,0.00045437423175861166
GOOGL,normal,0.0014153418148676634
IAU,crisis,0.0004814301522427473
IAU,normal,0.0005074864412633524
IEF,crisis,0.00023205835912460694
IEF,normal,0.00010105744664651775
IWM,crisis,-0.0001601309602755905
IWM,normal,0.0008634805335676688
META,crisis,-0.0003764824277527963
META,normal,0.001326732076633879
MSFT,crisis,-0.0001751493978309588
MSFT,normal,0.0013476696329720777
NVDA,crisis,0.0003306062602025395
NVDA,normal,0.0029940329709796485
QQQ,crisis,-0.000554510910535895
QQQ,normal,0.0012620067964568304
SHY,crisis,8.590943041849842e-05
SHY,normal,7.455578771964734e-05
SI=F,crisis,0.0004654120872600319
SI=F,normal,0.0007600382272869987
SLV,crisis,0.00018579610888889858
SLV,normal,0.0006663310150498206
SPY,crisis,-0.000409351148555962
SPY,normal,0.0009660551422106374
TLT,crisis,0.00029766036721015117
TLT,normal,0.00011597329840346449
TSLA,crisis,-0.00193802067935272
TSLA,normal,0.002943851572856257
USO,crisis,-0.0013919919121775546
USO,normal,0.000550797652636555
UUP,crisis,0.00011149359044918561
UUP,normal,5.6877101788445095e-05
XLB,crisis,-0.0001295462562224732
XLB,normal,0.0007922512577786666
XLE,crisis,-2.9632411552552996e-05
XLE,normal,0.000849153163410805
XLF,crisis,-0.0004118290277173671
XLF,normal,0.0008982312070165503
XLI,crisis,-0.000277797585795721
XLI,normal,0.0009226779460008188
XLK,crisis,-0.0005636193106524155
XLK,normal,0.0012050805955712148
XLP,crisis,-0.00018857163890959646
XLP,normal,0.0006280307626752125
XLRE,crisis,-0.0018052467016219848
XLRE,normal,0.0008025545272084801
XLU,crisis,-0.00022083038687316725
XLU,normal,0.0007631646813318036
XLV,crisis,-0.00026428478690114054
XLV,normal,0.0007932117829337286
XLY,crisis,-0.00016483287547885357
XLY,normal,0.0008823829424315406
