model,fold,accuracy,precision,recall,f1,roc_auc,train_size,test_size
LogisticRegression,1,0.4572072072072072,0.46645367412140576,0.6636363636363637,0.5478424015009381,0.4789569805194805,449,444
LogisticRegression,2,0.46396396396396394,0.483695652173913,0.38362068965517243,0.42788461538461536,0.47832628497072216,893,444
LogisticRegression,3,0.49324324324324326,0.5172413793103449,0.38961038961038963,0.4444444444444444,0.4865150498953316,1337,444
LogisticRegression,4,0.4954954954954955,0.4891304347826087,0.6192660550458715,0.5465587044534413,0.4879637898839003,1781,444
LogisticRegression,5,0.46846846846846846,0.5833333333333334,0.029411764705882353,0.056,0.5519703026841805,2225,444
RandomForest,1,0.48423423423423423,0.4871060171919771,0.7727272727272727,0.5975395430579965,0.5000913149350649,449,444
RandomForest,2,0.536036036036036,0.5670103092783505,0.47413793103448276,0.5164319248826291,0.5309348568640208,893,444
RandomForest,3,0.4864864864864865,0.5142857142857142,0.23376623376623376,0.32142857142857145,0.4689246590655042,1337,444
RandomForest,4,0.4864864864864865,0.48677248677248675,0.8440366972477065,0.6174496644295302,0.4938601120402696,1781,444
RandomForest,5,0.5067567567567568,0.5338078291814946,0.6302521008403361,0.5780346820809249,0.5207534470098719,2225,444
XGBoost,1,0.481981981981982,0.4859550561797753,0.7863636363636364,0.6006944444444444,0.5141233766233766,449,444
XGBoost,2,0.5180180180180181,0.5279503105590062,0.7327586206896551,0.6137184115523465,0.5386304489264802,893,444
XGBoost,3,0.481981981981982,0.5042735042735043,0.2554112554112554,0.3390804597701149,0.4831006239456944,1337,444
XGBoost,4,0.48873873873873874,0.48894348894348894,0.9128440366972477,0.6368,0.5429893642932533,1781,444
XGBoost,5,0.5022522522522522,0.5275080906148867,0.6848739495798319,0.5959780621572212,0.49973484539446844,2225,444
