asset,mean,std,count,rank
AAPL,0.0007400419877047921,0.028651202349796574,2776,1
GC=F,0.0005288034199328997,0.012242994568683704,2670,2
AMZN,0.0005230218029713765,0.039906726813834247,2775,3
IAU,0.0004814301522427473,0.013670639361537867,1626,4
SI=F,0.0004654120872600319,0.021428153283738174,2671,5
GOOGL,0.00045437423175861166,0.025331592689266977,1738,6
GLD,0.00044020413797053796,0.013503587822556593,1674,7
NVDA,0.0003306062602025395,0.044642210132657976,2699,8
TLT,0.00029766036721015117,0.010716576105566216,2256,9
IEF,0.00023205835912460694,0.005302913319697718,2256,10
SLV,0.00018579610888889858,0.024869215882595094,1393,11
UUP,0.00011149359044918561,0.0068280198127418186,1371,12
SHY,8.590943041849842e-05,0.0012258608185396554,2256,13
XLE,-2.9632411552552996e-05,0.022657325020699913,2703,14
XLB,-0.0001295462562224732,0.019085077780921757,2703,15
IWM,-0.0001601309602755905,0.019057272269770626,2682,16
XLY,-0.00016483287547885357,0.018474183137011015,2703,17
MSFT,-0.0001751493978309588,0.023018075041066777,2776,18
XLP,-0.00018857163890959646,0.011575049912419288,2703,19
XLU,-0.00022083038687316725,0.01540737551988914,2703,20
XLV,-0.00026428478690114054,0.013962805206520545,2703,21
XLI,-0.000277797585795721,0.01740675557658652,2703,22
DIA,-0.00032769209970278897,0.01563979163317202,2757,23
META,-0.0003764824277527963,0.03857950737554804,452,24
SPY,-0.000409351148555962,0.016385396284639683,2776,25
XLF,-0.0004118290277173671,0.024521863313522956,2703,26
DBC,-0.0005289118022181702,0.016570494416603642,1396,27
QQQ,-0.000554510910535895,0.021270632241123584,2693,28
XLK,-0.0005636193106524155,0.020890798922877703,2703,29
ETH-USD,-0.0007993893799570697,0.05324381213471313,496,30
BTC-USD,-0.0008356147684940017,0.04163092245463655,516,31
USO,-0.0013919919121775546,0.031220204724332314,1393,32
XLRE,-0.0018052467016219848,0.02300979232608321,446,33
TSLA,-0.00193802067935272,0.0447604886793134,748,34
