file,type,ok,rows,missing_required_cols,duplicate_rows,na_cell_count,date_range,size_mb
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\AAPL.csv,yahoo,True,7548,,0,0,1996-05-01 00:00:00 -> 2026-04-30 00:00:00,1.0538
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\AMZN.csv,yahoo,True,7285,,0,0,1997-05-15 00:00:00 -> 2026-04-30 00:00:00,1.0029
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\BTC-USD.csv,yahoo,True,4244,,0,0,2014-09-17 00:00:00 -> 2026-04-30 00:00:00,0.5251
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\DBC.csv,yahoo,True,5090,,0,0,2006-02-06 00:00:00 -> 2026-04-30 00:00:00,0.6817
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\DIA.csv,yahoo,True,7114,,0,0,1998-01-20 00:00:00 -> 2026-04-30 00:00:00,0.9062
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\ETH-USD.csv,yahoo,True,3095,,0,0,2017-11-09 00:00:00 -> 2026-04-30 00:00:00,0.4154
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\GC_F.csv,yahoo,True,6440,,0,0,2000-08-30 00:00:00 -> 2026-04-30 00:00:00,0.7099
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\GLD.csv,yahoo,True,5395,,0,0,2004-11-18 00:00:00 -> 2026-04-30 00:00:00,0.6848
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\GOOGL.csv,yahoo,True,5459,,0,0,2004-08-19 00:00:00 -> 2026-04-30 00:00:00,0.7619
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\IAU.csv,yahoo,True,5347,,0,0,2005-01-28 00:00:00 -> 2026-04-30 00:00:00,0.6794
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\IEF.csv,yahoo,True,5977,,0,0,2002-07-30 00:00:00 -> 2026-04-30 00:00:00,0.7543
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\IWM.csv,yahoo,True,6520,,0,0,2000-05-26 00:00:00 -> 2026-04-30 00:00:00,0.8493
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\META.csv,yahoo,True,3507,,0,0,2012-05-18 00:00:00 -> 2026-04-30 00:00:00,0.4734
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\MSFT.csv,yahoo,True,7548,,0,0,1996-05-01 00:00:00 -> 2026-04-30 00:00:00,0.9892
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\NVDA.csv,yahoo,True,6860,,0,0,1999-01-22 00:00:00 -> 2026-04-30 00:00:00,0.9787
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\QQQ.csv,yahoo,True,6828,,0,0,1999-03-10 00:00:00 -> 2026-04-30 00:00:00,0.8824
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\SHY.csv,yahoo,True,5977,,0,0,2002-07-30 00:00:00 -> 2026-04-30 00:00:00,0.7438
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\SI_F.csv,yahoo,True,6442,,0,0,2000-08-30 00:00:00 -> 2026-04-30 00:00:00,0.8401
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\SLV.csv,yahoo,True,5033,,0,0,2006-04-28 00:00:00 -> 2026-04-30 00:00:00,0.6769
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\SPY.csv,yahoo,True,7548,,0,0,1996-05-01 00:00:00 -> 2026-04-30 00:00:00,0.9549
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\TLT.csv,yahoo,True,5977,,0,0,2002-07-30 00:00:00 -> 2026-04-30 00:00:00,0.7594
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\TSLA.csv,yahoo,True,3984,,0,0,2010-06-29 00:00:00 -> 2026-04-30 00:00:00,0.5514
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\USO.csv,yahoo,True,5046,,0,0,2006-04-10 00:00:00 -> 2026-04-30 00:00:00,0.6618
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\UUP.csv,yahoo,True,4823,,0,0,2007-03-01 00:00:00 -> 2026-04-30 00:00:00,0.6088
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLB.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.9029
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLE.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.8972
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLF.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.93
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLI.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.8877
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLK.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.8935
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLP.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.889
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLRE.csv,yahoo,True,2655,,0,0,2015-10-08 00:00:00 -> 2026-04-30 00:00:00,0.3538
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLU.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.9028
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLV.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.8872
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLY.csv,yahoo,True,6880,,0,0,1998-12-22 00:00:00 -> 2026-04-30 00:00:00,0.8952
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\CPIAUCSL.csv,fred,True,359,,0,1,1996-05-01 00:00:00 -> 2026-03-01 00:00:00,0.0114
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\DFII10.csv,fred,True,6085,,0,250,2003-01-02 00:00:00 -> 2026-04-29 00:00:00,0.1677
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\DGS10.csv,fred,True,7826,,0,323,1996-05-01 00:00:00 -> 2026-04-29 00:00:00,0.2071
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\DTWEXBGS.csv,fred,True,5300,,0,208,2006-01-02 00:00:00 -> 2026-04-24 00:00:00,0.1728
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\EFFR.csv,fred,True,6739,,0,255,2000-07-03 00:00:00 -> 2026-04-30 00:00:00,0.1719
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\FEDFUNDS.csv,fred,True,359,,0,0,1996-05-01 00:00:00 -> 2026-03-01 00:00:00,0.0106
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\SP500.csv,fred,True,2609,,0,95,2016-05-02 00:00:00 -> 2026-04-30 00:00:00,0.0763
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\T10Y3M.csv,fred,True,7827,,0,323,1996-05-01 00:00:00 -> 2026-04-30 00:00:00,0.2156
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\T10YIE.csv,fred,True,6086,,0,250,2003-01-02 00:00:00 -> 2026-04-30 00:00:00,0.1669
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\USREC.csv,fred,True,359,,0,0,1996-05-01 00:00:00 -> 2026-03-01 00:00:00,0.0086
C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\fred\VIXCLS.csv,fred,True,7827,,0,251,1996-05-01 00:00:00 -> 2026-04-30 00:00:00,0.222
